#Sun Feb  9 11:36:29 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
              54          -1.061           8.126
              55           1.184           7.063
              56         -0.2721           7.611
              57         -0.3537           7.313
              58        -0.01361           8.304
              59           2.449           7.326
              60           1.354           7.516
              61           2.211           9.307
              62           1.932           6.866
              63          0.5986           9.549
              64           2.571            8.23
              65          -2.313           7.103
              66         -0.8571           11.87
              67          0.8299           9.185
              68         -0.9864           9.126
              69           -3.34           7.087
              70        -0.04762           10.25
              71          0.6871            9.89
              72          0.5578           8.061
              73           1.265           7.244
              74           3.034            9.56
              75          0.1429           9.076
              76         -0.9252           8.438
              77           1.388           7.495
              78           2.605           7.601
              79           2.388           10.73
              80          -2.878           7.856
              81           -3.68           6.913
              82           -4.02           10.07
              83           2.388           7.824
              84          -1.871           7.829
              85          -3.034            6.81
              86          0.1905           7.852
              87           2.898           7.869
              88          -1.558           8.018
              89         -0.8435           7.788
              90          0.6531           7.645
              91           1.796           7.492
              92           1.088           6.042
              93          0.2585           8.763
              94           1.463           6.771
              95           2.061           10.34
              96          -1.966           7.499
              97           -1.49           7.623
              98           3.088           11.26
              99           1.014           8.958
             100          -2.673           8.222
             101          -3.306           7.182
             102           4.571           8.974
             103          0.9864           8.852
             104          -1.109           8.548
             105          -2.197           7.952
             106            1.81           8.994
             107         -0.4966            10.1
             108          -2.782           8.778
             109          -1.456           7.632
             110           1.027           9.287
             111           -1.98            9.76
             112          -0.381           7.392
             113         -0.2585            7.29
             114         -0.1156           8.683
             115           1.177           6.948
             116          -2.259           8.314
             117          0.5714             6.9
             118          -1.374           7.863
             119          0.8912           6.797
             120          0.1497           8.036
             121           -2.34           7.133
             122          -2.347           7.163
             123          0.8095           7.691
             124         -0.6939           6.656
             125           2.524           10.15
             126           1.469           7.268
             127            3.17           10.21
APV               58              11               0               6
               0           12.94           30.39
               1           8.741           26.54
               2           2.156           24.28
               3         -0.6054           23.52
               4           1.803            9.63
               5           -1.81           8.907
               6         -0.8912           11.07
               7           3.605           8.388
               8           -1.98           8.464
               9           1.265           7.035
              10          0.8027           7.932
              11          0.6054           9.723
              12          -1.558           9.315
              13          -1.327           7.294
              14              -3           8.098
              15         -0.3946           10.06
              16          -2.027           8.592
              17          0.1224           7.642
              18          0.5374            13.5
              19         -0.3605           7.548
              20          -1.816           8.497
              21        -0.08844           7.559
              22           3.531           8.006
              23         -0.7687           7.537
              24           -2.83           7.724
              25           1.476            7.33
              26           3.122           6.926
              27           -1.02           8.419
              28          -1.714           8.123
              29           1.082           7.885
              30         -0.4762           7.281
              31         -0.8571           14.34
              32          -2.361           8.374
              33            3.17           8.434
              34          0.4218           7.777
              35           2.639           7.925
              36           -1.66           8.317
              37         -0.8844           8.204
              38          -0.449           9.049
              39         -0.4626           8.917
              40          -1.803           7.974
              41         -0.7551           7.462
              42           1.585            8.95
              43          0.1224           8.753
              44          -2.755            8.73
              45         -0.5238           7.877
              46          0.5986           7.248
              47           2.272           9.527
              48           -2.32           9.065
              49          -1.034           7.549
              50         -0.4354           10.68
              51           1.245           7.432
              52       -0.006803           7.744
              53          0.3673            7.43
              54         -0.7823           8.447
              55          -1.027           7.272
              56          0.6327           7.581
              57          -3.088           7.842
              58         -0.2177           7.675
              59           2.218           7.984
              60          0.5646           7.777
              61          -1.959           9.458
              62          0.7551           7.188
              63          0.9184           9.376
              64          -3.381           7.994
              65          -1.796           8.477
              66          0.3129           10.28
              67           1.537           8.924
              68           -1.66           8.778
              69          -1.619           7.036
              70           2.088           9.636
              71          0.7891           9.016
              72          0.8639           9.146
              73         -0.6054           7.586
              74         -0.6327           8.807
              75         -0.9252           8.229
              76          -1.878           8.486
              77           1.721            7.26
              78          0.1973           7.001
              79          0.4422           10.32
              80          -3.605           7.988
              81          -1.864           7.229
              82          -2.082           9.261
              83        -0.06122           7.066
              84          0.1429           8.066
              85          0.8639           7.146
              86           3.476           7.357
              87         -0.1497           6.844
              88          -3.095           7.869
              89          -1.211            6.67
              90         0.08163           6.525
              91         -0.9728           7.462
              92          -2.524            8.24
              93          -1.143           8.887
              94          0.3946           7.771
              95           2.007           9.836
              96          -2.388           8.082
              97        -0.05442           8.635
              98           2.231           9.722
              99           1.102           8.912
             100         -0.2517           7.998
             101          0.1497           7.923
             102           1.578           9.263
             103           2.082           8.404
             104         -0.4014           8.308
             105          -1.599           8.128
